place,date,penol,bacteria,pb,cr6,as,hg,cu,hcb,benzen,p,por
청계천2,2022-08-04,0,70000,,,,,,,,,
청계천3,2022-08-04,0,60000,,,,,,,,,
추곡천,2022-08-04,,,,,,,,,,,
탄천6,2022-08-04,0,610000,,,,,,,,,
평림천,2022-08-04,0,50000,,,,,,,,,
평창강1,2022-08-04,0,5600,,,,,,,,,
평창강2,2022-08-04,0,2800,,,,,,,,,
현도,2022-08-04,정량한계미만,270,,,,,,,,,
홍제천,2022-08-04,0,31000,,,,,,,,,
황룡강4,2022-08-04,0,130000,,,,,,,,,
회천1,2022-08-04,정량한계미만,40,,,,,,,,,
회천2,2022-08-04,정량한계미만,1300,,,,,,,,,
병천천2,2022-08-04,정량한계미만,1300,,,,,,,,,
석천,2022-08-04,정량한계미만,350,,,,,,,,,
영동천1,2022-08-04,정량한계미만,1700,,,,,,,,,
영동천2,2022-08-04,정량한계미만,1100,,,,,,,,,
초강1,2022-08-04,정량한계미만,3500,,,,,,,,,
추풍령천,2022-08-04,정량한계미만,3500,,,,,,,,,
가야천,2022-08-05,정량한계미만,5200,,,,,,,,,
가정천,2022-08-05,,,,,,,,,,,
금호강3,2022-08-05,정량한계미만,500,,,,,,,,,
당진천1,2022-08-05,정량한계미만,36000,,,,,,,,,
도당천,2022-08-05,정량한계미만,15000,,,,,,,,,
둔당천,2022-08-05,정량한계미만,41000,,,,,,,,,
문호천,2022-08-05,,,,,,,,,,,
벽계천1,2022-08-05,,,,,,,,,,,
수동천,2022-08-05,,,,,,,,,,,
영주서천1,2022-08-05,정량한계미만,16000,,,,,,,,,
영주서천2,2022-08-05,정량한계미만,5400,,,,,,,,,
오갑천,2022-08-05,,,,,,,,,,,
오산천1,2022-08-05,정량한계미만,14000,,,,,,,,,
오산천3,2022-08-05,정량한계미만,36000,,,,,,,,,
오산천5,2022-08-05,정량한계미만,170000,,,,,,,,,
오산천7,2022-08-05,정량한계미만,290000,,,,,,,,,
와룡천,2022-08-05,정량한계미만,21000,,,,,,,,,
응천,2022-08-05,,,,,,,,,,,
장검천,2022-08-05,정량한계미만,55000,,,,,,,,,
조종천3,2022-08-05,,,,,,,,,,,
진위천3,2022-08-05,정량한계미만,49000,,,,,,,,,
진위천4,2022-08-05,정량한계미만,60000,,,,,,,,,
청미천1,2022-08-05,,,,,,,,,,,
청미천3,2022-08-05,,,,,,,,,,,
청지천,2022-08-05,정량한계미만,7700,,,,,,,,,
탄천1,2022-08-05,정량한계미만,160000,,,,,,,,,
탄천3,2022-08-05,정량한계미만,44000,,,,,,,,,
탄천4,2022-08-05,정량한계미만,160000,,,,,,,,,
태안천,2022-08-05,정량한계미만,31000,,,,,,,,,
화양강,2022-08-05,0,7800,,,,,,,,,
황강4,2022-08-05,정량한계미만,1500,,,,,,,,,
황강5,2022-08-05,정량한계미만,320,,,,,,,,,
회동댐 상류,2022-08-05,0,8700,,,,,,,,,
골지천1,2022-08-08,,,,,,,,,,,
골지천3,2022-08-08,,,,,,,,,,,
광양서천,2022-08-08,정량한계미만,9200,,,,,,,,,
광주천2,2022-08-08,0,1450,,,,,,,,,
궁촌천,2022-08-08,0,32000,,,,,,,,,
금강천2,2022-08-08,정량한계미만,2600,,,,,,,,,
남강3,2022-08-08,정량한계미만,2300,,,,,,,,,
남강5,2022-08-08,정량한계미만,1500,,,,,,,,,
남원,2022-08-08,정량한계미만,7800,,,,,,,,,
내동천,2022-08-08,정량한계미만,5000,,,,,,,,,
덕소천,2022-08-08,0,71000,,,,,,,,,
도심천,2022-08-08,0,130000,,,,,,,,,
복하천2,2022-08-08,정량한계미만,30000,,,,,,,,,
복하천3,2022-08-08,정량한계미만,240000,,,,,,,,,
복하천5,2022-08-08,정량한계미만,310000,,,,,,,,,
봉산천,2022-08-08,,,,,,,,,,,
봉황천,2022-08-08,정량한계미만,360,,,,,,,,,
부항천,2022-08-08,0,5100,,,,,,,,,
북하천,2022-08-08,,,,,,,,,,,
산곡천,2022-08-08,0,77000,,,,,,,,,
산호천,2022-08-08,정량한계미만,92000,,,,,,,,,
삼천1,2022-08-08,정량한계미만,17000,,,,,,,,,
삼천2,2022-08-08,정량한계미만,99000,,,,,,,,,
삼천3,2022-08-08,정량한계미만,99000,,,,,,,,,
석곡천,2022-08-08,,,,,,,,,,,
송천2,2022-08-08,,,,,,,,,,,
송천3,2022-08-08,,,,,,,,,,,
송현천,2022-08-08,,,,,,,,,,,
신천2,2022-08-08,,,,,,,,,,,
안성천1,2022-08-08,정량한계미만,100000,,,,,,,,,
안성천2,2022-08-08,정량한계미만,24000,,,,,,,,,
양화천2,2022-08-08,정량한계미만,48000,,,,,,,,,
영동,2022-08-08,정량한계미만,140,,,,,,,,,
요천2,2022-08-08,정량한계미만,76000,,,,,,,,,
용산천,2022-08-08,,,,,,,,,,,
월문천,2022-08-08,0,32000,,,,,,,,,
의령천,2022-08-08,정량한계미만,1400,,,,,,,,,
이사천3,2022-08-08,정량한계미만,2900,,,,,,,,,
전주천1,2022-08-08,정량한계미만,16000,,,,,,,,,
제원1,2022-08-08,정량한계미만,40,,,,,,,,,
지석천2,2022-08-08,,,,,,,,,,,
지장천1,2022-08-08,정량한계미만,2300,,,,,,,,,
진원천,2022-08-08,,,,,,,,,,,
창원천,2022-08-08,정량한계미만,19000,,,,,,,,,
철암천,2022-08-08,정량한계미만,380,,,,,,,,,
청미천2,2022-08-08,정량한계미만,41000,,,,,,,,,
청미천4,2022-08-08,정량한계미만,45000,,,,,,,,,
청미천5,2022-08-08,,,,,,,,,,,
탐진강3,2022-08-08,정량한계미만,3100,,,,,,,,,
평동천,2022-08-08,,,,,,,,,,,
풍영정천1,2022-08-08,,,,,,,,,,,
풍영정천2,2022-08-08,0,17000,,,,,,,,,
홍릉천,2022-08-08,0,22000,,,,,,,,,
황룡강3,2022-08-08,,,,,,,,,,,
황지1,2022-08-08,정량한계미만,500,,,,,,,,,
황지2,2022-08-08,정량한계미만,2000,,,,,,,,,
가막,2022-08-08,,,,,,,,,,,
가평천3,2022-08-08,,,,,,,,,,,
강상,2022-08-08,,,,,,,,,,,
강천,2022-08-08,정량한계미만,3700,정량한계미만,정량한계미만,정량한계미만,0.0000018,,,,,
경안천10,2022-08-08,,,,,,,,,,,
경안천6,2022-08-08,,,,,,,,,,,
곡수천2,2022-08-08,정량한계미만,62000,,,,,,,,,
공릉천5,2022-08-08,,,,,,,,,,,
공주1,2022-08-08,정량한계미만,150,,,,,,,,,
관리천,2022-08-08,,,,,,,,,,,
광산,2022-08-08,0,3286,0.00003,0,0.00096,0.0000012,,,,,
구량천,2022-08-08,,,,,,,,,,,
구운천2,2022-08-08,정량한계미만,14000,,,,,,,,,
구의,2022-08-08,,,,,,,,,,,
굴포천4,2022-08-08,,,,,,,,,,,
금강,2022-08-08,정량한계미만,160,,,,,,,,,
금당천2,2022-08-08,정량한계미만,3100,,,,,,,,,
금상천,2022-08-08,,,,,,,,,,,
금호강8,2022-08-08,정량한계미만,520000,,,,,,,,,
나주,2022-08-08,0,905,0.00006,0,0.00135,0.0000001,,,,,
낙단,2022-08-08,정량한계미만,55000,,,,,,,,,
남강7,2022-08-08,정량한계미만,100000,,,,,,,,,
내린천2,2022-08-08,,,,,,,,,,,
내성천5,2022-08-08,정량한계미만,25000,,,,,,,,,
노량진,2022-08-08,,,,,,,,,,,
논공,2022-08-08,정량한계미만,140000,,,,,,,,,
다사,2022-08-08,정량한계미만,620000,,,,,,,,,
단성,2022-08-08,,,,,,,,,,,
달천6,2022-08-08,,,,,,,,,,,
달천7,2022-08-08,정량한계미만,1600,,,,,,,,,
달천8,2022-08-08,,,,,,,,,,,
대신,2022-08-08,정량한계미만,4000,정량한계미만,정량한계미만,정량한계미만,0.0000009,,,,,
대청댐,2022-08-08,정량한계미만,6,,,,,,,,,
덕곡,2022-08-08,정량한계미만,500000,,,,,,,,,
덕은리,2022-08-08,,,,,,,,,,,
도남,2022-08-08,정량한계미만,75000,,,,,,,,,
도산,2022-08-08,정량한계미만,72000,,,,,,,,,
목행대교,2022-08-08,,,,,,,,,,,
무주남대천3,2022-08-08,,,,,,,,,,,
묵현천,2022-08-08,정량한계미만,170000,,,,,,,,,
문산천4,2022-08-08,,,,,,,,,,,
물금,2022-08-08,정량한계미만,580000,,,,,,,,,
반변천4,2022-08-08,정량한계미만,25000,,,,,,,,,
벽계천1,2022-08-08,,,,,,,,,,,
벽계천2,2022-08-08,정량한계미만,6800,,,,,,,,,
보청천3,2022-08-08,,,,,,,,,,,
복하천6,2022-08-08,,,,,,,,,,,
부리,2022-08-08,,,,,,,,,,,
부여,2022-08-08,정량한계미만,110,,,,,,,,,
삼봉리,2022-08-08,,,,,,,,,,,
상곡천,2022-08-08,,,,,,,,,,,
상주3,2022-08-08,정량한계미만,110000,,,,,,,,,
선산,2022-08-08,정량한계미만,51000,,,,,,,,,
섬강3,2022-08-08,,,,,,,,,,,
섬강6,2022-08-08,,,,,,,,,,,
성은천,2022-08-08,,,,,,,,,,,
소양강2,2022-08-08,,,,,,,,,,,
신천5,2022-08-08,,,,,,,,,,,
안동1,2022-08-08,정량한계미만,0,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
안동2,2022-08-08,정량한계미만,160,,,,,,,,,
안동3,2022-08-08,정량한계미만,2400,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
안동4,2022-08-08,정량한계미만,1000,,,,,,,,,
안양천9,2022-08-08,,,,,,,,,,,
양화천4,2022-08-08,,,,,,,,,,,
여주1,2022-08-08,정량한계미만,3300,,,,,,,,,
여주2,2022-08-08,정량한계미만,4700,,,,,,,,,
영순,2022-08-08,정량한계미만,60,,,,,,,,,
영월2,2022-08-08,정량한계미만,60,,,,,,,,,
영춘,2022-08-08,,,,,,,,,,,
영평천3,2022-08-08,,,,,,,,,,,
예천1,2022-08-08,정량한계미만,100,,,,,,,,,
예천2,2022-08-08,정량한계미만,410,,,,,,,,,
오갑천,2022-08-08,,,,,,,,,,,
오대천3,2022-08-08,,,,,,,,,,,
오산천2,2022-08-08,,,,,,,,,,,
오산천4,2022-08-08,,,,,,,,,,,
오산천6,2022-08-08,,,,,,,,,,,
옥동천3,2022-08-08,,,,,,,,,,,
옥천,2022-08-08,정량한계미만,150,,,,,,,,,
왕숙천6,2022-08-08,,,,,,,,,,,
왜관,2022-08-08,정량한계미만,21000,,,,,,,,,
용담,2022-08-08,,,,,,,,,,,
우치,2022-08-08,0,3450,0.00003,0,0.00074,0.000001,,,,,
운계천,2022-08-08,정량한계미만,2600,,,,,,,,,
원주,2022-08-08,,,,,,,,,,,
응천,2022-08-08,,,,,,,,,,,
의암댐,2022-08-08,정량한계미만,590,,,,,,,,,
이원,2022-08-08,,,,,,,,,,,
이포,2022-08-08,정량한계미만,6400,정량한계미만,정량한계미만,정량한계미만,0.0000007,,,,,
인북천1,2022-08-08,,,,,,,,,,,
임진강3,2022-08-08,,,,,,,,,,,
임진강6,2022-08-08,,,,,,,,,,,
정자천,2022-08-08,,,,,,,,,,,
제원2,2022-08-08,,,,,,,,,,,
제천천4,2022-08-08,,,,,,,,,,,
조양강,2022-08-08,,,,,,,,,,,
조종천3,2022-08-08,,,,,,,,,,,
조종천4,2022-08-08,,,,,,,,,,,
주천강3,2022-08-08,,,,,,,,,,,
죽산,2022-08-08,0,13,0.00006,0,0.00157,0.0000015,,,,,
중랑천3,2022-08-08,,,,,,,,,,,
중원,2022-08-08,,,,,,,,,,,
지석천4,2022-08-08,0,3714,0.00005,0,0.00243,0.0000005,,,,,
진위천1,2022-08-08,,,,,,,,,,,
진위천2,2022-08-08,,,,,,,,,,,
진위천5,2022-08-08,,,,,,,,,,,
진위천6,2022-08-08,,,,,,,,,,,
청미천1,2022-08-08,,,,,,,,,,,
청미천3,2022-08-08,,,,,,,,,,,
청미천6,2022-08-08,,,,,,,,,,,
청평,2022-08-08,,,,,,,,,,,
초강2,2022-08-08,,,,,,,,,,,
추풍천,2022-08-08,,,,,,,,,,,
춘성교,2022-08-08,,,,,,,,,,,
춘천1,2022-08-08,,,,,,,,,,,
충주,2022-08-08,,,,,,,,,,,
충주댐,2022-08-08,정량한계미만,3,,,,,,,,,
칠곡,2022-08-08,정량한계미만,62000,,,,,,,,,
탄천5,2022-08-08,,,,,,,,,,,
팔당,2022-08-08,,,,,,,,,,,
팔당댐,2022-08-08,정량한계미만,2800,,,,,,,,,
평창강5,2022-08-08,,,,,,,,,,,
학성,2022-08-08,정량한계미만,650,,,,,,,,,
한탄강1,2022-08-08,,,,,,,,,,,
한탄강5,2022-08-08,,,,,,,,,,,
함안,2022-08-08,정량한계미만,91000,,,,,,,,,
행주,2022-08-08,,,,,,,,,,,
현도,2022-08-08,,280,,,,,,,,,
홍천강3,2022-08-08,,,,,,,,,,,
화천,2022-08-08,,,,,,,,,,,
황구지천1,2022-08-08,,,,,,,,,,,
황구지천2,2022-08-08,,,,,,,,,,,
황구지천4,2022-08-08,,,,,,,,,,,
황구지천5,2022-08-08,,,,,,,,,,,
황구지천6,2022-08-08,,,,,,,,,,,
황룡강5,2022-08-08,0,12000,0.00003,0,0.00117,0.0000014,,,,,
흑천3,2022-08-08,,,,,,,,,,,
가천,2022-08-09,0,408,,,,,,,,,
고막원천1,2022-08-09,,,,,,,,,,,
고막원천2,2022-08-09,정량한계미만,4300,,,,,,,,,
고막원천4,2022-08-09,0,300,,,,,,,,,
고산,2022-08-09,정량한계미만,27000,,,,,,,,,
곡교천1,2022-08-09,정량한계미만,1700,,,,,,,,,
구산천,2022-08-09,,,,,,,,,,,
구천천,2022-08-09,0,2400,,,,,,,,,
금천,2022-08-09,,,,,,,,,,,
기계천,2022-08-09,정량한계미만,16000,,,,,,,,,
냉천,2022-08-09,정량한계미만,9200,,,,,,,,,
단장천2,2022-08-09,0,5,,,,,,,,,
대교천1,2022-08-09,정량한계미만,17000,,,,,,,,,
대촌천,2022-08-09,,,,,,,,,,,
덕은,2022-08-09,정량한계미만,1000,,,,,,,,,
덕천강1,2022-08-09,정량한계미만,2200,,,,,,,,,
덕천강2,2022-08-09,정량한계미만,5400,,,,,,,,,
무안천,2022-08-09,,,,,,,,,,,
산동,2022-08-09,정량한계미만,3300,,,,,,,,,
삼례,2022-08-09,정량한계미만,130000,,,,,,,,,
삼포천1,2022-08-09,,,,,,,,,,,
삼포천2,2022-08-09,,,,,,,,,,,
서낙동강1,2022-08-09,0,12000,,,,,,,,,
서낙동강2,2022-08-09,0,12000,,,,,,,,,
서낙동강3,2022-08-09,0,6500,,,,,,,,,
서낙동강4,2022-08-09,0,6900,,,,,,,,,
수어천1,2022-08-09,0,732,,,,,,,,,
식지천,2022-08-09,,,,,,,,,,,
양천2,2022-08-09,정량한계미만,100,,,,,,,,,
어천1,2022-08-09,,,,,,,,,,,
연초천1,2022-08-09,0,2400,,,,,,,,,
영산포2,2022-08-09,0,93,,,,,,,,,
영암천2,2022-08-09,,,,,,,,,,,
익산천1,2022-08-09,정량한계미만,44000,,,,,,,,,
익산천2,2022-08-09,정량한계미만,48000,,,,,,,,,
익산천3,2022-08-09,정량한계미만,48000,,,,,,,,,
장성천1,2022-08-09,,,,,,,,,,,
조천1,2022-08-09,정량한계미만,54000,,,,,,,,,
지석천1,2022-08-09,정량한계미만,290,,,,,,,,,
지석천3,2022-08-09,정량한계미만,1600,,,,,,,,,
칠성천,2022-08-09,정량한계미만,54000,,,,,,,,,
함평,2022-08-09,0,20,,,,,,,,,
함평천1,2022-08-09,정량한계미만,9900,,,,,,,,,
함평천2,2022-08-09,정량한계미만,13000,,,,,,,,,
함평천3,2022-08-09,,,,,,,,,,,
화순천,2022-08-09,정량한계미만,2300,,,,,,,,,
황룡강1,2022-08-09,정량한계미만,4300,,,,,,,,,
황룡강2,2022-08-09,정량한계미만,4700,,,,,,,,,
갑천6,2022-08-09,정량한계미만,410000,,,,,,,,,
고령,2022-08-09,정량한계미만,560,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
광주1,2022-08-09,정량한계미만,2800,,,,,,,,,
광주2,2022-08-09,정량한계미만,17000,,,,,,,,,
광주3,2022-08-09,정량한계미만,21000,,,,,,,,,
구례,2022-08-09,정량한계미만,500,,,,,,,,,
남지,2022-08-09,정량한계미만,14000,,,,,,,,,
달성,2022-08-09,정량한계미만,340,,,,,,,,,
담양,2022-08-09,정량한계미만,3800,,,,,,,,,
대청,2022-08-09,,,,,,,,,,,
무심천1,2022-08-09,,,,,,,,,,,
무심천3,2022-08-09,,,,,,,,,,,
무안1,2022-08-09,정량한계미만,32,,,,,,,,,
무안2,2022-08-09,0,9,0.0001,0,0.00136,0.0000024,,,,,
미호강10,2022-08-09,정량한계미만,60000,,,,,,,,,
미호강2,2022-08-09,,,,,,,,,,,
미호강5,2022-08-09,,,,,,,,,,,
미호강9,2022-08-09,,,,,,,,,,,
백천,2022-08-09,,,,,,,,,,,
병천천1,2022-08-09,,,,,,,,,,,
보강천1,2022-08-09,,,,,,,,,,,
보성강7,2022-08-09,정량한계미만,420,,,,,,,,,
부강,2022-08-09,정량한계미만,3700,,,,,,,,,
산곡,2022-08-09,정량한계미만,10,,,,,,,,,
삼랑진2,2022-08-09,정량한계미만,36000,,,,,,,,,
상주1,2022-08-09,정량한계미만,6,,,,,,,,,
석남천,2022-08-09,,,,,,,,,,,
성암천,2022-08-09,,,,,,,,,,,
성주,2022-08-09,정량한계미만,150,,,,,,,,,
세종1,2022-08-09,,,,,,,,,,,
영산포1,2022-08-09,정량한계미만,270,,,,,,,,,
옥동천1,2022-08-09,,,,,,,,,,,
용두천,2022-08-09,,,,,,,,,,,
용호천,2022-08-09,,,,,,,,,,,
유등천1,2022-08-09,,,,,,,,,,,
적성,2022-08-09,정량한계미만,16000,,,,,,,,,
조천2,2022-08-09,,,,,,,,,,,
주암댐,2022-08-09,0,4,0.00003,0,0.00117,0.0000014,,,,,
창녕,2022-08-09,정량한계미만,120000,,,,,,,,,
하남,2022-08-09,정량한계미만,27000,,,,,,,,,
하동,2022-08-09,정량한계미만,340,,,,,,,,,
한천,2022-08-09,,,,,,,,,,,
고막원천3,2022-08-10,정량한계미만,6400,,,,,,,,,
고성천,2022-08-10,정량한계미만,1600,,,,,,,,,
관촌,2022-08-10,0,610,,,,,,,,,
광려천1,2022-08-10,정량한계미만,470,,,,,,,,,
광려천3,2022-08-10,정량한계미만,310,,,,,,,,,
금강천1,2022-08-10,,,,,,,,,,,
남강2,2022-08-10,정량한계미만,700,,,,,,,,,
대강,2022-08-10,,,,,,,,,,,
동진강1,2022-08-10,정량한계미만,33000,,,,,,,,,
동진강2,2022-08-10,정량한계미만,50000,,,,,,,,,
만봉천,2022-08-10,,,,,,,,,,,
문평천,2022-08-10,,,,,,,,,,,
보성강2,2022-08-10,,,,,,,,,,,
사천천,2022-08-10,정량한계미만,900,,,,,,,,,
수어천2,2022-08-10,정량한계미만,2800,,,,,,,,,
영강1,2022-08-10,정량한계미만,92000,,,,,,,,,
영강2,2022-08-10,정량한계미만,54000,,,,,,,,,
영산천,2022-08-10,,,,,,,,,,,
영천강2,2022-08-10,정량한계미만,900,,,,,,,,,
오수천2,2022-08-10,0,4900,,,,,,,,,
옴천천1,2022-08-10,0,1733,,,,,,,,,
옴천천2,2022-08-10,,,,,,,,,,,
요천1,2022-08-10,,,,,,,,,,,
원평천1,2022-08-10,정량한계미만,15000,,,,,,,,,
위천2,2022-08-10,정량한계미만,660,,,,,,,,,
위천4,2022-08-10,정량한계미만,2500,,,,,,,,,
유치천1,2022-08-10,,,,,,,,,,,
유치천2,2022-08-10,0,2092,,,,,,,,,
임실,2022-08-10,0,580,,,,,,,,,
장성천2,2022-08-10,,,,,,,,,,,
주진천1,2022-08-10,정량한계미만,78000,,,,,,,,,
주진천2,2022-08-10,정량한계미만,120000,,,,,,,,,
진월,2022-08-10,정량한계미만,390,,,,,,,,,
추령천,2022-08-10,,,,,,,,,,,
탐진강1,2022-08-10,,,,,,,,,,,
탐진강2,2022-08-10,0,1120,,,,,,,,,
탐진강4,2022-08-10,0,10500,,,,,,,,,
형산강6,2022-08-10,,,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,
강경,2022-08-10,,,,,,,,,,,
곡교천2,2022-08-10,,,,,,,,,,,
곰나루,2022-08-10,,9400,,,,,,,,,
공주2,2022-08-10,,160,,,,,,,,,
구포,2022-08-10,정량한계미만,85000,,,,,,,,,
금강갑문,2022-08-10,,,,,,,,,,,
금천,2022-08-10,,,,,,,,,,,
길산천2,2022-08-10,,,,,,,,,,,
노성천1,2022-08-10,,,,,,,,,,,
논산천1,2022-08-10,,,,,,,,,,,
논산천4,2022-08-10,,,,,,,,,,,
대교천2,2022-08-10,,,,,,,,,,,
목면,2022-08-10,,,,,,,,,,,
부여1,2022-08-10,정량한계미만,110,,,,,,,,,
부여2,2022-08-10,,300,,,,,,,,,
산북천,2022-08-10,,,,,,,,,,,
석성천1,2022-08-10,,,,,,,,,,,
석성천3,2022-08-10,,,,,,,,,,,
성동,2022-08-10,,420,,,,,,,,,
세종2,2022-08-10,,,,,,,,,,,
양화,2022-08-10,,280,,,,,,,,,
연기,2022-08-10,,,,,,,,,,,
연산천,2022-08-10,,,,,,,,,,,
요천3,2022-08-10,0,460,0.00003,0,0.00071,0.0000004,,,,,
용수천1,2022-08-10,,,,,,,,,,,
용수천2,2022-08-10,,,,,,,,,,,
유구천,2022-08-10,,,,,,,,,,,
정동,2022-08-10,,,,,,,,,,,
정안천,2022-08-10,,,,,,,,,,,
지천2,2022-08-10,,,,,,,,,,,
천안천3,2022-08-10,,,,,,,,,,,
탐진강5,2022-08-10,0,203,0.00002,0,0.00148,0,,,,,
형산강5,2022-08-10,정량한계미만,40,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
가평천1,2022-08-11,정량한계미만,350,,,,,,,,,
가평천2,2022-08-11,정량한계미만,2200,,,,,,,,,
감천1,2022-08-11,정량한계미만,7500,,,,,,,,,
감천3,2022-08-11,정량한계미만,12000,,,,,,,,,
계산,2022-08-11,0,2300,,,,,,,,,
계수천,2022-08-11,,,,,,,,,,,
군외천,2022-08-11,정량한계미만,4000,,,,,,,,,
남강6,2022-08-11,정량한계미만,3500,,,,,,,,,
남강천,2022-08-11,정량한계미만,2000,,,,,,,,,
남천,2022-08-11,,,,,,,,,,,
동복천1,2022-08-11,,,,,,,,,,,
동복천2,2022-08-11,0,650,,,,,,,,,
보성강1,2022-08-11,,,,,,,,,,,
보성강5,2022-08-11,,,,,,,,,,,
석교천,2022-08-11,정량한계미만,2500,,,,,,,,,
수홍천,2022-08-11,,,,,,,,,,,
악양,2022-08-11,,,,,,,,,,,
연초천2,2022-08-11,정량한계미만,120000,,,,,,,,,
오수천1,2022-08-11,,,,,,,,,,,
오천천,2022-08-11,정량한계미만,2800,,,,,,,,,
옥택천,2022-08-11,,,,,,,,,,,
왕숙천2,2022-08-11,정량한계미만,9200,,,,,,,,,
왕숙천3,2022-08-11,정량한계미만,24000,,,,,,,,,
왕숙천5,2022-08-11,정량한계미만,160000,,,,,,,,,
웅천천2,2022-08-11,정량한계미만,3500,,,,,,,,,
율천,2022-08-11,,,,,,,,,,,
이사천2,2022-08-11,,,,,,,,,,,
조종천1,2022-08-11,정량한계미만,1600,,,,,,,,,
조종천2,2022-08-11,정량한계미만,2200,,,,,,,,,
진전천,2022-08-11,정량한계미만,29000,,,,,,,,,
청도천,2022-08-11,정량한계미만,9200,,,,,,,,,
치천,2022-08-11,,,,,,,,,,,
함안천1,2022-08-11,정량한계미만,3800,,,,,,,,,
함안천2,2022-08-11,정량한계미만,3100,,,,,,,,,
함양위천1,2022-08-11,정량한계미만,470,,,,,,,,,
함양위천2,2022-08-11,정량한계미만,310,,,,,,,,,
후곡천,2022-08-11,,,,,,,,,,,
가양,2022-08-11,,,,,,,,,,,
경안천9,2022-08-11,,,,,,,,,,,
고부천3,2022-08-11,,,,,,,,,,,
김제,2022-08-11,,,,,,,,,,,
남원천,2022-08-11,,,,,,,,,,,
동진강3,2022-08-11,,,,,,,,,,,
안성천3,2022-08-11,,,,,,,,,,,
원평천3,2022-08-11,,,,,,,,,,,
임진강7,2022-08-11,,,,,,,,,,,
전주,2022-08-11,,,,,,,,,,,
전주천7,2022-08-11,,,,,,,,,,,
정읍천4,2022-08-11,,,,,,,,,,,
탑천,2022-08-11,,,,,,,,,,,
감이천,2022-08-12,,,,,,,,,,,
곡수천1,2022-08-12,,,,,,,,,,,
백련천,2022-08-12,정량한계미만,5300,,,,,,,,,
성덕천,2022-08-12,,,,,,,,,,,
영평천1,2022-08-12,정량한계미만,490,,,,,,,,,
영평천2,2022-08-12,정량한계미만,9200,,,,,,,,,
포천천,2022-08-12,정량한계미만,14000,,,,,,,,,
횡천강1,2022-08-12,정량한계미만,2700,,,,,,,,,
횡천강2,2022-08-12,정량한계미만,9800,,,,,,,,,
횡천강3,2022-08-12,정량한계미만,1600,,,,,,,,,
흑천2,2022-08-12,,,,,,,,,,,
망월천,2022-08-12,,,,,,,,,,,
사탄천,2022-08-12,,,,,,,,,,,
산본천,2022-08-12,,,,,,,,,,,
안양천1,2022-08-12,,,,,,,,,,,
안양천3,2022-08-12,,,,,,,,,,,
안양천7,2022-08-12,,,,,,,,,,,
학의천,2022-08-12,,,,,,,,,,,
가대천,2022-08-12,정량한계미만,2400,,,,,,,,,
앙성천,2022-08-12,정량한계미만,11000,,,,,,,,,
영덕천,2022-08-12,정량한계미만,1600,,,,,,,,,
원서천1,2022-08-12,정량한계미만,5400,,,,,,,,,
장평천,2022-08-12,정량한계미만,130000,,,,,,,,,
죽령천,2022-08-12,정량한계미만,3500,,,,,,,,,
강정,2022-08-16,,,,,,,,,,,
경안천4,2022-08-16,,,,,,,,,,,
경호강1,2022-08-16,,,,,,,,,,,
경호강2,2022-08-16,,,,,,,,,,,
고현천,2022-08-16,0,7800,,,,,,,,,
곤지암천2,2022-08-16,,,,,,,,,,,
곤지암천3,2022-08-16,정량한계미만,88000,,,,,,,,,
골지천2,2022-08-16,0,4000,,,,,,,,,
공릉천3,2022-08-16,,,,,,,,,,,
광산천1,2022-08-16,,,,,,,,,,,
광산천2,2022-08-16,,,,,,,,,,,
금천,2022-08-16,,,,,,,,,,,
내성천2,2022-08-16,,,,,,,,,,,
달방천,2022-08-16,0,2400,,,,,,,,,
대성리,2022-08-16,정량한계미만,2200,,,,,,,,,
덕풍천,2022-08-16,정량한계미만,480000,,,,,,,,,
말지천,2022-08-16,,,,,,,,,,,
미천,2022-08-16,,,,,,,,,,,
밀양강4,2022-08-16,,,,,,,,,,,
번천,2022-08-16,0,4800,,,,,,,,,
병성천,2022-08-16,,,,,,,,,,,
복하천1,2022-08-16,,,,,,,,,,,
북면,2022-08-16,,,,,,,,,,,
삼랑진1,2022-08-16,,,,,,,,,,,
상주2,2022-08-16,,,,,,,,,,,
설문천,2022-08-16,,,,,,,,,,,
송야천,2022-08-16,,,,,,,,,,,
안망천,2022-08-16,,,,,,,,,,,
양재천1,2022-08-16,,,,,,,,,,,
영강3,2022-08-16,,,,,,,,,,,
용산,2022-08-16,,,,,,,,,,,
용수천,2022-08-16,0,4800,,,,,,,,,
용전천1,2022-08-16,,,,,,,,,,,
위천5,2022-08-16,,,,,,,,,,,
의암,2022-08-16,정량한계미만,195,,,,,,,,,
이안천,2022-08-16,,,,,,,,,,,
임해진,2022-08-16,,,,,,,,,,,
주천강,2022-08-16,,,,,,,,,,,
주항천,2022-08-16,,,,,,,,,,,
청도천1,2022-08-16,,,,,,,,,,,
청도천2,2022-08-16,,,,,,,,,,,
풍산천,2022-08-16,,,,,,,,,,,
화포천,2022-08-16,,,,,,,,,,,
황강3,2022-08-16,,,,,,,,,,,
